,mindate,maxdate,name,datacoverage,id
0,1888-02-01,2020-12-07,Alabama,1,FIPS:01
1,1893-09-01,2020-12-07,Alaska,1,FIPS:02
2,1867-08-01,2020-12-07,Arizona,1,FIPS:04
3,1871-07-01,2020-12-07,Arkansas,1,FIPS:05
4,1850-10-01,2020-12-07,California,1,FIPS:06
5,1852-10-01,2020-12-07,Colorado,1,FIPS:08
6,1884-11-01,2020-12-07,Connecticut,1,FIPS:09
7,1893-01-01,2020-12-07,Delaware,1,FIPS:10
8,1870-11-01,2020-12-06,District of Columbia,1,FIPS:11
9,1871-10-01,2020-12-07,Florida,1,FIPS:12
10,1849-01-01,2020-12-07,Georgia,1,FIPS:13
11,1905-01-01,2020-12-07,Hawaii,1,FIPS:15
12,1892-06-01,2020-12-07,Idaho,1,FIPS:16
13,1870-10-15,2020-12-07,Illinois,1,FIPS:17
14,1886-02-01,2020-12-07,Indiana,1,FIPS:18
15,1888-06-01,2020-12-07,Iowa,1,FIPS:19
16,1857-04-01,2020-12-07,Kansas,1,FIPS:20
17,1872-10-01,2020-12-07,Kentucky,1,FIPS:21
18,1882-07-01,2020-12-07,Louisiana,1,FIPS:22
19,1885-06-01,2020-12-07,Maine,1,FIPS:23
20,1880-01-01,2020-12-07,Maryland,1,FIPS:24
21,1831-02-01,2020-12-07,Massachusetts,1,FIPS:25
22,1887-06-01,2020-12-07,Michigan,1,FIPS:26
23,1886-01-01,2020-12-07,Minnesota,1,FIPS:27
24,1891-01-01,2020-12-07,Mississippi,1,FIPS:28
25,1892-01-01,2020-12-07,Missouri,1,FIPS:29
26,1891-08-01,2020-12-07,Montana,1,FIPS:30
27,1878-01-01,2020-12-07,Nebraska,1,FIPS:31
28,1877-07-01,2020-12-07,Nevada,1,FIPS:32
29,1868-01-01,2020-12-07,New Hampshire,1,FIPS:33
30,1865-06-01,2020-12-07,New Jersey,1,FIPS:34
31,1870-01-01,2020-12-07,New Mexico,1,FIPS:35
32,1869-01-01,2020-12-07,New York,1,FIPS:36
33,1869-03-01,2020-12-07,North Carolina,1,FIPS:37
34,1891-07-01,2020-12-07,North Dakota,1,FIPS:38
35,1878-02-01,2020-12-07,Ohio,1,FIPS:39
36,1870-04-01,2020-12-07,Oklahoma,1,FIPS:40
37,1871-11-01,2020-12-07,Oregon,1,FIPS:41
38,1849-04-01,2020-12-07,Pennsylvania,1,FIPS:42
39,1893-01-01,2020-12-07,Rhode Island,1,FIPS:44
40,1849-05-01,2020-12-07,South Carolina,1,FIPS:45
41,1893-01-01,2020-12-07,South Dakota,1,FIPS:46
42,1879-01-01,2020-12-07,Tennessee,1,FIPS:47
43,1852-04-01,2020-12-07,Texas,1,FIPS:48
44,1887-12-01,2020-12-07,Utah,1,FIPS:49
45,1883-12-01,2020-12-07,Vermont,1,FIPS:50
46,1869-01-01,2020-12-07,Virginia,1,FIPS:51
47,1856-01-01,2020-12-07,Washington,1,FIPS:53
48,1854-01-01,2020-12-07,West Virginia,1,FIPS:54
49,1871-01-01,2020-12-07,Wisconsin,1,FIPS:55
50,1889-01-01,2020-12-07,Wyoming,1,FIPS:56
