date,PRCP_Illinois,PRCP_Indiana,PRCP_Nebraska,PRCP_Ohio,PRCP_Iowa,Season,Year,Month
2000-01-01,0.0,0.0,0.0,0.0,0.0,Winter,2000,1
2000-01-02,0.3111111111111111,2.4888888888888894,0.05,0.0,0.3111111111111111,Winter,2000,1
2000-01-03,11.744444444444444,23.988888888888887,1.5666666666666669,5.2125,0.16666666666666666,Winter,2000,1
2000-01-04,4.111111111111111,10.011111111111113,0.16666666666666666,30.487500000000004,3.9250000000000007,Winter,2000,1
2000-01-05,0.03333333333333333,0.3444444444444444,0.05,1.7375000000000005,0.0,Winter,2000,1
2000-01-06,0.0,0.0,0.05,0.0375,0.5125,Winter,2000,1
2000-01-07,0.0,0.0,0.0,0.0,0.12222222222222225,Winter,2000,1
2000-01-08,0.0,0.03333333333333333,0.0,0.0,0.0,Winter,2000,1
2000-01-09,1.9777777777777767,0.1111111111111111,0.0,0.0375,1.1555555555555557,Winter,2000,1
2000-01-10,2.677777777777778,0.7333333333333333,0.0,0.30000000000000004,2.1555555555555554,Winter,2000,1
2000-01-11,0.03333333333333333,0.06666666666666668,0.0,1.5875,0.0,Winter,2000,1
2000-01-12,0.0,0.06666666666666668,0.0,0.075,0.0,Winter,2000,1
2000-01-13,1.4666666666666666,0.6555555555555554,0.0,1.2625,0.0,Winter,2000,1
2000-01-14,0.0,0.05555555555555555,0.0,0.775,0.0,Winter,2000,1
2000-01-15,0.0,0.0,0.0,0.0,0.0,Winter,2000,1
2000-01-16,0.0,0.0,0.0,0.0,0.0,Winter,2000,1
2000-01-17,0.0,1.3777777777777775,0.0,0.0,0.03333333333333333,Winter,2000,1
2000-01-18,1.6111111111111112,1.6666666666666667,0.0,0.8125,0.4,Winter,2000,1
2000-01-19,0.14444444444444446,3.0444444444444447,0.7666666666666666,0.125,1.75,Winter,2000,1
2000-01-20,4.288888888888889,5.111111111111111,0.0,5.9625,7.19,Winter,2000,1
2000-01-21,0.0,0.17777777777777778,0.0,1.4857142857142858,0.0,Winter,2000,1
2000-01-22,1.0125,1.4444444444444444,0.0,0.0625,1.15,Winter,2000,1
2000-01-23,0.8111111111111111,3.3000000000000003,0.35000000000000003,2.1,0.5,Winter,2000,1
2000-01-24,0.1111111111111111,0.0,0.05,0.0,0.0,Winter,2000,1
2000-01-25,0.1111111111111111,0.03333333333333333,0.0,0.0,0.03,Winter,2000,1
2000-01-26,0.0,0.6333333333333333,0.8166666666666665,0.3625,0.03,Winter,2000,1
